FO_Name,FO_Type,Website,Founded_Year,HQ_City,HQ_Country,AUM_Estimate,Check_Size_Min,Check_Size_Max,Investment_Stage,Sector_Focus,Geographic_Focus,Decision_Maker_1_Name,Decision_Maker_1_Role,Decision_Maker_1_Email,Decision_Maker_1_LinkedIn,Decision_Maker_2_Name,Decision_Maker_2_Role,Decision_Maker_2_Email,Portfolio_Companies,Fund_Relationships,Investment_Themes,Co_Invest_Frequency,Co_Investor_Relationships,Recent_News,Recent_LinkedIn_Activity,Recent_Filing,Recent_Portfolio_Announcement,LP_Relationships,Investment_Strategy,Data_Source,Validation_Status,Last_Updated
Bezos Expeditions,SFO,bezosexpeditions.com,2005,Seattle,USA,$70B+,5000000,500000000,Growth/Late,"Technology,Space,Media,Consumer",Global,Jeff Bezos,Founder/Principal,N/A,linkedin.com/in/jeffbezos,N/A,N/A,N/A,"Blue Origin, Amazon, Washington Post, Airbnb","General Catalyst, Kleiner Perkins","Space commercialization, AI, Media",Low,"Tiger Global, Coatue",Blue Origin New Glenn launch 2024,N/A,13F 2024Q3,Blue Origin NASA contract,N/A – SFO,Direct investments in transformative technology,"SEC EDGAR, Press",Validated,2025-03-01
Emerson Collective,SFO,emersoncollective.com,2004,Palo Alto,USA,$10B+,1000000,100000000,Seed/Growth,"Education,Immigration,Health,Media",USA,Laurene Powell Jobs,Founder,N/A,linkedin.com/in/laurene-powell-jobs,Arne Duncan,Managing Director,N/A,"The Atlantic, Axios, Oyster HR, CollegeSpring","NEA, Andreessen Horowitz","Social impact, education tech",Med,"Omidyar Network, Ford Foundation",Emerson invested in AI tutoring startup 2024,N/A,N/A,Axios investment 2023,N/A – SFO,Mission-driven investments in education & media,"Crunchbase, Press",Validated,2025-03-01
Vulcan Capital,SFO,vulcan.com,1986,Seattle,USA,$1B+,5000000,150000000,Growth/Late,"Technology,Real Estate,Energy,Media","USA, Global",Jody Allen,CEO / Trustee,N/A,N/A,N/A,N/A,N/A,"Seattle Seahawks, Portland Trail Blazers, Vulcan Real Estate",N/A,"Technology, sports, ocean health",Low,N/A,Vulcan sold Trail Blazers 2023,N/A,N/A,Ocean health initiative 2024,N/A – SFO,Legacy asset management + direct investments,"Press, Public Filings",Validated,2025-03-01
Walton Enterprises,SFO,waltonenterprises.com,1953,Bentonville,USA,$224B+,10000000,1000000000,All Stages,"Retail,Technology,Real Estate,Philanthropy",Global,Rob Walton,Chairman,N/A,N/A,Steuart Walton,Principal,N/A,"Walmart, RZC Investments, Team Denver (NFL bid)",Walmart Family,"Sustainable retail, conservation, direct investments",Low,N/A,Rob Walton purchased Denver Broncos 2022,N/A,13F 2024,Conservation fund 2024,N/A – SFO,Family legacy + direct investments,"SEC EDGAR, Forbes",Validated,2025-03-01
Cascade Investment,SFO,N/A,1994,Kirkland,USA,$60B+,50000000,2000000000,Growth/Late/PE,"Technology,Energy,Hospitality,Agriculture",Global,Bill Gates,Principal,N/A,linkedin.com/in/williamhgates,Michael Larson,CIO,N/A,"Republic Services, AutoNation, Canadian National Railway, Four Seasons",Gates Foundation,"Clean energy, agriculture, infrastructure",Low,N/A,Cascade invested in nuclear energy startup 2023,N/A,13F 2024Q3,TerraPower funding 2024,N/A – SFO,"Long-only, diversified global portfolio","SEC 13F, Press",Validated,2025-03-01
MSD Partners,SFO,msdpartners.com,1998,New York,USA,$30B+,25000000,500000000,Growth/PE/Credit,"Technology,Healthcare,Consumer,Real Estate,Private Credit","USA, Global",Michael Dell,Founder/Principal,N/A,linkedin.com/in/michaeldell,John Phelan,Managing Partner,N/A,"Dell Technologies, VMware, Boomi","Silver Lake, KKR","Technology transformation, private credit, real estate",High,"Silver Lake, Blackstone, Apollo",MSD co-led $500M credit deal 2024,N/A,13F 2024,Private credit expansion 2024,Co-invests with major PE firms,"Opportunistic multi-asset, private credit focus","SEC EDGAR, Bloomberg",Validated,2025-03-01
Soros Fund Management,SFO,soros.com,1969,New York,USA,$25B+,10000000,1000000000,All Stages,"Macro,Technology,Healthcare,Financial Services",Global,George Soros,Founder/Chairman,N/A,N/A,Dawn Fitzpatrick,CIO,N/A,"Palantir, Amazon, Rivian, Liberty Broadband",Open Society Foundations,"Global macro, social impact, technology",Low,N/A,Soros Fund added AI positions Q3 2024,N/A,13F 2024Q3,New AI fund 2024,N/A – SFO,Global macro + long/short equity,"SEC 13F, Press",Validated,2025-03-01
Bessemer Trust,MFO,bessemertrust.com,1907,New York,USA,$100B+,5000000,250000000,Growth/PE/Credit,"Technology,Healthcare,Consumer,Real Estate,Private Equity","USA, Global",Alex Chaloff,Co-CIO,N/A,N/A,Marc Lipschultz,President,N/A,Various private equity funds,Multiple PE/VC fund relationships,"Multi-generational wealth, alternatives, private equity",High,"KKR, Blackstone, Apollo",Bessemer expanded private credit 2024,N/A,ADV 2024,Real estate fund 2024,"Major endowments, HNW families",Full-service wealth management + direct investments,"ADV Filing, Press",Validated,2025-03-01
Northern Trust Family Office,MFO,northerntrust.com,1889,Chicago,USA,$1.2T (AUM total),1000000,100000000,All Stages,"Multi-Asset,Private Equity,Real Estate,Fixed Income",Global,Steve Potter,Head of Family Office,N/A,N/A,N/A,N/A,N/A,Various managed accounts,"BlackRock, Vanguard, PE managers","Capital preservation, multi-generational wealth",Med,"Goldman Sachs, JPMorgan",NT expanded family office services 2024,N/A,ADV 2024,ESG integration 2024,Ultra HNW families globally,Institutional-quality wealth management,"ADV Filing, Press",Validated,2025-03-01
Rockefeller Capital Management,MFO,rockco.com,1882,New York,USA,$120B+,5000000,500000000,Growth/PE/Credit,"Technology,Healthcare,Consumer,Energy,Infrastructure",Global,Gregory Fleming,CEO,N/A,N/A,Wallace Weitz,Principal,N/A,Various PE/VC co-investments,Multiple top-tier PE/VC funds,"Long-term value, sustainable investing",High,"KKR, Apollo, Carlyle",Rockefeller Capital raised $3B 2024,N/A,ADV 2024,Clean energy fund 2024,Rockefeller family + external families,Multi-family office with direct investments,"ADV Filing, Press",Validated,2025-03-01
Pitcairn Family Office,MFO,pitcairn.com,1923,Jenkintown,USA,$6B+,1000000,50000000,Growth/PE,"Technology,Healthcare,Consumer",USA,Leslie Voth,CEO,N/A,N/A,N/A,N/A,N/A,Various PE fund investments,"Apollo, Blackstone, KKR fund LPs","Intergenerational wealth, alternatives",Med,N/A,Pitcairn named top MFO 2024 by Barron's,N/A,ADV 2024,N/A,Pitcairn family + external ultra HNW,Full-service MFO with alternatives,"ADV, Barron's",Validated,2025-03-01
Glenmede Trust Company,MFO,glenmede.com,1956,Philadelphia,USA,$45B+,2000000,100000000,All Stages,"Technology,Healthcare,Industrials,Real Estate","USA, Global",Gordon Fowler,President & CEO,N/A,N/A,N/A,N/A,N/A,N/A – managed funds,Pew family trusts,"Capital preservation, ESG, multi-asset",Med,N/A,Glenmede expanded ESG 2024,N/A,ADV 2024,N/A,Pew family + external families,Full-service trust and investment management,ADV Filing,Validated,2025-03-01
Pritzker Organization,SFO,thepritzkerorganization.com,1996,Chicago,USA,$30B+,10000000,500000000,Growth/PE/Buyout,"Hospitality,Healthcare,Technology,Real Estate","USA, Global",Thomas Pritzker,Chairman,N/A,N/A,Tony Pritzker,Co-Principal,N/A,"Hyatt Hotels, TransUnion, Marmon Group",Pritzker Private Capital,"Real assets, buyouts, healthcare services",Med,N/A,Pritzker Private Capital new fund 2024,N/A,N/A,Healthcare platform acquisition 2024,N/A – SFO,Controlling buyouts + real assets,"Press, Bloomberg",Validated,2025-03-01
